"","word","sentiment","lexicon","score"
"403","choked",NA,"AFINN",-2
"404","chokes",NA,"AFINN",-2
"405","choking",NA,"AFINN",-2
"406","clarifies",NA,"AFINN",2
"407","clarity",NA,"AFINN",2
"408","clash",NA,"AFINN",-2
"409","classy",NA,"AFINN",3
"410","clean",NA,"AFINN",2
"411","cleaner",NA,"AFINN",2
"412","clear",NA,"AFINN",1
"413","cleared",NA,"AFINN",1
"414","clearly",NA,"AFINN",1
"415","clears",NA,"AFINN",1
"416","clever",NA,"AFINN",2
"417","clouded",NA,"AFINN",-1
"418","clueless",NA,"AFINN",-2
"419","cock",NA,"AFINN",-5
"420","cocksucker",NA,"AFINN",-5
"421","cocksuckers",NA,"AFINN",-5
"422","cocky",NA,"AFINN",-2
"423","coerced",NA,"AFINN",-2
"424","collapse",NA,"AFINN",-2
"425","collapsed",NA,"AFINN",-2
"426","collapses",NA,"AFINN",-2
"427","collapsing",NA,"AFINN",-2
"428","collide",NA,"AFINN",-1
"429","collides",NA,"AFINN",-1
"430","colliding",NA,"AFINN",-1
"431","collision",NA,"AFINN",-2
"432","collisions",NA,"AFINN",-2
"433","colluding",NA,"AFINN",-3
"434","combat",NA,"AFINN",-1
"435","combats",NA,"AFINN",-1
"436","comedy",NA,"AFINN",1
"437","comfort",NA,"AFINN",2
"438","comfortable",NA,"AFINN",2
"439","comforting",NA,"AFINN",2
"440","comforts",NA,"AFINN",2
"441","commend",NA,"AFINN",2
"442","commended",NA,"AFINN",2
"443","commit",NA,"AFINN",1
"444","commitment",NA,"AFINN",2
"445","commits",NA,"AFINN",1
"446","committed",NA,"AFINN",1
"447","committing",NA,"AFINN",1
"448","compassionate",NA,"AFINN",2
"449","compelled",NA,"AFINN",1
"450","competent",NA,"AFINN",2
"451","competitive",NA,"AFINN",2
"452","complacent",NA,"AFINN",-2
"453","complain",NA,"AFINN",-2
"454","complained",NA,"AFINN",-2
"455","complains",NA,"AFINN",-2
"456","comprehensive",NA,"AFINN",2
"457","conciliate",NA,"AFINN",2
"458","conciliated",NA,"AFINN",2
"459","conciliates",NA,"AFINN",2
"460","conciliating",NA,"AFINN",2
"461","condemn",NA,"AFINN",-2
"462","condemnation",NA,"AFINN",-2
"463","condemned",NA,"AFINN",-2
"464","condemns",NA,"AFINN",-2
"465","confidence",NA,"AFINN",2
"466","confident",NA,"AFINN",2
"467","conflict",NA,"AFINN",-2
"468","conflicting",NA,"AFINN",-2
"469","conflictive",NA,"AFINN",-2
"470","conflicts",NA,"AFINN",-2
"471","confuse",NA,"AFINN",-2
"472","confused",NA,"AFINN",-2
"473","confusing",NA,"AFINN",-2
"474","congrats",NA,"AFINN",2
"475","congratulate",NA,"AFINN",2
"476","congratulation",NA,"AFINN",2
"477","congratulations",NA,"AFINN",2
"478","consent",NA,"AFINN",2
"479","consents",NA,"AFINN",2
"480","consolable",NA,"AFINN",2
